gene_name,num_cell_types
ADCYAP1,1
ABTB2,1
ABCA2,1
ABCA7,1
ABCB5,1
ABCC1,1
ABCC3,1
ABHD15,1
ABHD2,1
ABHD3,1
ABI2,1
ABI3,1
ABL2,1
ABTB1,1
AC092580.4,1
ADAP2,1
ACER3,1
ACOT9,1
ACP5,1
ACPP,1
ACSS2,1
ACTB,1
ADAM12,1
ADAM15,1
ADAM17,1
ADAM19,1
ADAM28,1
ADAM33,1
AMBP,1
AMICA1,1
AMPD3,1
ARMH1,1
ARAP2,1
AREG,1
ARG1,1
ARHGAP25,1
ARHGAP26,1
ARHGAP45,1
ARHGEF18,1
ARHGEF3,1
ARHGEF4,1
ARID5B,1
ARL4A,1
ARL6IP6,1
ARPC5L,1
APP,1
ARRB1,1
ARRB2,1
ARRDC3,1
ASAH1,1
ASB2,1
ASGR1,1
ASPH,1
ASPM,1
ASXL1,1
ATF3,1
ATF4,1
ATF5,1
AQP3,1
APOL6,1
ANG,1
AP1S2,1
ANKRD28,1
ANKRD36,1
ANKRD36B,1
ANKS3,1
ANP32B,1
ANP32E,1
ANXA1,1
ANXA2P2,1
ANXA5,1
AOAH,1
AOX1,1
AP1GBP1,1
AP2A1,1
APOL3,1
AP2S1,1
APBA2,1
APG7L,1
APLP2,1
APOA1,1
APOA2,1
APOBEC3F,1
APOC1,1
APOC3,1
APOE,1
APOH,1
APOL1,1
CD1A,1
CD200,1
ERP29,1
DIRC2,1
DAPP1,1
DAZAP2,1
DCAF12,1
DCK,1
DCLK1,1
DCN,1
DCNP1,1
DCPS,1
DCSTAMP,1
DDOST,1
DDT,1
DDX21,1
DDX41,1
DDX58,1
DDX60,1
DDX60L,1
DEFA4,1
DENND10P1,1
DENND1B,1
DENND3,1
DENND5A,1
DENND5B,1
DEPDC1,1
DFNA5,1
DHRS3,1
DHRS7,1
DHTKD1,1
DAPK2,1
DAAM1,1
CYTIP,1
CXCL16,1
CSRP1,1
CST7,1
CTBS,1
CTC-210G5.1,1
CTNS,1
CTSB3,1
CTSZ,1
CTTNBP2NL,1
CXCL1,1
CXCL10,1
CXCL11,1
CXCL13,1
CXCL3,1
CYTH4,1
CXCL5,1
CXCL9,1
CXCR1,1
CXCR5,1
CYB561A3,1
CYB5A,1
CYB5R3,1
CYCD3,1
CYLD,1
CYP1B1,1
CYP46A1,1
CYSLTR1,1
DHX33,1
DKC1,1
CD207,1
DKFZP434H132,1
EDEM2,1
EFHC1,1
EGFL7,1
EGR1,1
EHD1,1
EIF1,1
EIF2AK3,1
EIF4A1,1
EIF4A3,1
ELK3,1
ELL2,1
ELOB,1
ELOVL5,1
EMB,1
EMILIN-2,1
EMP3,1
EN1,1
ENPP1,1
ENTPD7,1
EOMES,1
EPC1,1
EPHB1,1
EPHX2,1
ERBB2,1
ERI1,1
ERICH1,1
ERO1B,1
ECHS1,1
EBPL,1
EBI3,1
DOK3,1
DKFZP564O0463,1
DKFZP566A1524,1
DKFZP586I1420,1
DKFZP667L0210,1
DKFZP761K1824,1
DKFZP762C1112,1
DLX5,1
DMXL2,1
DNAJC1,1
DNASE2,1
DOCK5,1
DOK2,1
DPEP1,1
EAF2,1
DPPA4,1
DPYD,1
DPYSL2,1
DRAP1,1
DSN1,1
DST,1
DSTN,1
DTNB,1
DUFD1,1
DUSP10,1
DUSP5,1
DUT,1
CSNK1E,1
CSK,1
CSGALNACT2,1
CSF2RB,1
CDCA7L,1
CDH2,1
CDH23,1
CDK1,1
CDK5RAP2,1
CDO1,1
CDT1,1
CEACAM1,1
CEACAM6,1
CENPH,1
CENPK,1
CEP135,1
CEP170,1
CEP68,1
CEP78,1
CEP95,1
CES1,1
CES1P1,1
CFHR1,1
CFHR2,1
CFP,1
CGI-09,1
CGI-109,1
CHCHD10,1
CHEK1,1
CHI3L1,1
CHN1,1
CDCA5,1
CDCA2,1
CDCA1,1
CD48,1
CD209,1
CD226,1
CD248,1
CD2AP,1
CD300E,1
CD300LB,1
CD300LF,1
CD300LG,1
CD307A,1
CD307B,1
CD42A,1
CD46,1
CD53,1
CDC42EP3,1
CD58,1
CD59,1
CD72B,1
CD7411,1
CD84,1
CD9,1
CD93,1
CD96,1
CD99,1
CD992,1
CDA,1
CDC25B,1
CHST10,1
CHST15,1
CHST7,1
CPNE3,1
COP1,1
COQ7,1
COQ8A,1
CORO1B,1
CORO1C,1
CORO2A,1
CORO7,1
CORO7-PAM16,1
COX2,1
CP,1
CPM,1
CPNE2,1
CPNE5,1
COL4A3BP,1
CPO,1
CPPED1,1
CRABP1,1
CREB3L2,1
CREG1,1
CRIM1,1
CRLF2,1
CRSP3,1
CRYL1,1
CRYM,1
CRYM-AS1,1
CSF2,1
COMMD63,1
COL3A1,1
CIRBP,1
CLEC5A,1
CISH,1
CKB,1
CKLF,1
CKS2,1
CLC,1
CLCN5,1
CLDN5,1
CLDN6,1
CLDND1,1
CLEC12A,1
CLEC17A,1
CLEC4F,1
CLNK,1
COL24A1,1
CLU,1
CMC1,1
CMKLR1,1
CMTM2,1
CNIH4,1
CNN1,1
CNOT10,1
CNP,1
COBLL1,1
COCH,1
COL1A1,1
COL1A2,1
IKZF3,1
ZWINT,1
IL10,1
SIGLEC10,1
SGK3,1
SGO2,1
SGPL1,1
SH2D1B,1
SH2D2A,1
SH3BP2,1
SH3BP5,1
SH3BP5-AS1,1
SH3YL1,1
SHTN1,1
SIAT4A,1
SIDT1,1
SIDT2,1
SIGLEC12,1
SETBP1,1
SIGLEC7,1
SINHCAF,1
SIRPB1,1
SIT1,1
SIVA1,1
SKAP2,1
SLA,1
SLC11A2,1
SLC12A2,1
SLC12A3,1
SLC15A3,1
SLC15A4,1
SLC16A3,1
SFT2D2,1
SERTAD2,1
SLC24A4,1
SDPR,1
SATB1,1
SBDS,1
SCAMP5,1
SCARB2,1
SCARF1,1
SCFD1,1
SCIMP,1
SCML4,1
SCO2,1
SCPEP1,1
SCT,1
SDC2,1
SDCBP,1
SEC14L1,1
SERPINB9,1
SEC24A,1
SEC61A1,1
SEC61G,1
SEC61G1,1
SEC62,1
SEL1L3,1
SELENBP1,1
SELENOP,1
SELL2,1
SEPTIN11,1
SERBP1,1
SERPINB2,1
SERPINB7,1
SLC23A2,1
SLC25A3,1
SRPK2,1
SPART,1
SNRPN,1
SNURF,1
SNX11,1
SNX18,1
SNX22,1
SNX3,1
SNX9,1
SOAT1,1
SOD1,1
SORL1,1
SOS1,1
SOX13,1
SP100,1
SPATA5,1
SNHG8,1
SPATS2,1
SPCS1,1
SPCS11,1
SPI1,1
SPICE1,1
SPINK1,1
SPINK2,1
SPINT2,1
SPNS3,1
SPRED1,1
SPRED2,1
SPTBN1,1
SRC,1
SNRPA1,1
SNHG7,1
SLC25A39,1
SLC66A1,1
SLC27A3,1
SLC28A3,1
SLC31A1,1
SLC33A1,1
SLC35C2,1
SLC36A4,1
SLC38A1,1
SLC38A2,1
SLC38A6,1
SLC40A1,1
SLC41A2,1
SLC44A2,1
SLC4A10,1
SLC6A6,1
SNED1,1
SLC7A7,1
SLC9A3R1,1
SLC9A9,1
SLCO4C1,1
SMC2,1
SMC3,1
SMC4,1
SMC6,1
SMCP,1
SMLR1,1
SMPD3,1
SNCA,1
SND1,1
SAT1,1
SASH1,1
SAMSN1,1
RGS19,1
RASSF2,1
RASSF3,1
RBL1,1
RBP1,1
RBP4,1
RCBTB2,1
RCL1,1
RDX,1
REL,1
REREP3,1
RETNLB,1
RFC4,1
RGS10,1
RHOD,1
RASD1,1
RHOG,1
RIC3,1
RIDA,1
RIOK1,1
RIOX2,1
RIPK2,1
RNASEH2B,1
RNASEL,1
RNASET2,1
RNASET21,1
RNF125,1
RNF13,1
RNF144B,1
RASSF1,1
RASAL2,1
SAMHD1,1
RAB37,1
PTPRS,1
PTTG1,1
PTX3,1
PUM2,1
PXN,1
PYGL,1
QDPR,1
QRSL1,1
R3HDM4,1
RAB11FIP4,1
RAB24,1
RAB27A,1
RAB30,1
RAB5C,1
RASA2,1
RAB9A,1
RABGAP1L,1
RACGAP1,1
RACK1,1
RAD1,1
RAFTLIN,1
RALGAPA1,1
RALGPS2,1
RAMP,1
RAMP2,1
RAN,1
RAP2B,1
RARA,1
RNF166,1
RNF214,1
RNF24,1
RRAGC,1
RPS199,1
RPS206,1
RPS21,1
RPS25,1
RPS277,1
RPS27A9,1
RPS27L,1
RPS298,1
RPS3A,1
RPS3A9,1
RPS7,1
RPS8,1
RPSA8,1
RRBP1,1
RNF5,1
RRM1,1
RRM2,1
RSAD2,1
RSL1D1,1
RUBCN,1
RUBCNL,1
RUNX1,1
RXRA,1
S100A10,1
S100A6,1
S100PBP,1
SAA4,1
SALL4,1
RPS148,1
RPS128,1
